time,odrive0.axis0.encoder.pos_abs,odrive0.axis0.encoder.sencond_pos_abs
16.996,30685,216279
17.019,30687,216279
17.045,30687,216279
17.071,30686,216279
17.102,30686,216279
17.124,30686,216279
17.149,30686,216279
17.175,30686,216279
17.201,30685,216279
17.226,30687,216279
17.253,30686,216279
17.278,30686,216279
17.3,30583,216275
17.324,30584,216274
17.347,30585,216274
17.37,30585,216274
17.394,30585,216274
17.416,30585,216274
17.444,30585,216274
17.461,30585,216274
17.484,30585,216274
17.506,30585,216274
17.529,30585,216274
17.553,30585,216274
17.576,30585,216273
17.599,30585,216273
17.622,30585,216273
17.648,30585,216273
17.669,30585,216273
17.694,30585,216273
17.714,30585,216273
17.737,30585,216274
17.761,30585,216274
17.784,30585,216274
17.807,30585,216274
17.829,30585,216274
17.853,30585,216274
17.876,30585,216274
17.901,30585,216274
17.923,30585,216274
17.945,30585,216274
17.968,30585,216274
17.994,30585,216274
18.013,30585,216274
18.041,30585,216274
18.06,30585,216274
18.082,30585,216274
18.105,30585,216274
18.128,30585,216274
18.151,30585,216274
18.174,30585,216274
18.198,30585,216274
18.22,30585,216274
18.244,30585,216274
18.265,30585,216274
18.287,30585,216274
18.311,30585,216274
18.334,30585,216274
18.357,30585,216274
18.38,30585,216274
18.404,30585,216274
18.427,30585,216274
18.45,30585,216274
18.473,30585,216274
18.496,30585,216274
18.52,30585,216274
18.542,30585,216274
18.565,30585,216274
18.592,30585,216274
18.61,30585,216274
18.632,30585,216274
18.656,30585,216274
18.678,30585,216274
18.701,30585,216274
18.723,30585,216274
18.746,30585,216274
18.769,30585,216274
18.794,30585,216274
18.816,30585,216274
18.842,30585,216274
18.863,30585,216274
18.891,30585,216274
18.908,30585,216274
18.931,30585,216274
18.955,30585,216274
18.978,30585,216274
19.001,30585,216274
19.025,30585,216274
19.046,30585,216274
19.069,30585,216274
19.096,30585,216274
19.117,30585,216274
19.142,30585,216274
19.162,30585,216274
19.192,30585,216274
19.207,30585,216274
19.23,30585,216274
19.253,30585,216274
19.275,30585,216274
19.299,30585,216274
19.322,30585,216274
19.344,30585,216274
19.367,30585,216274
19.393,30585,216274
19.413,30585,216274
19.441,30585,216274
19.46,30585,216274
19.482,30585,216274
19.505,30585,216274
19.528,30585,216274
19.55,30585,216274
19.573,30585,216274
19.596,30585,216274
19.619,30585,216274
19.643,30585,216274
19.666,30585,216274
19.691,30585,216274
19.712,30585,216274
19.735,30585,216274
19.757,30585,216274
19.78,30585,216274
19.803,30585,216274
19.826,30585,216274
19.848,30585,216274
19.871,30585,216274
19.893,30585,216274
19.916,30585,216274
19.94,30585,216274
19.962,30585,216274
19.984,30585,216274
20.007,30585,216274
20.033,30595,216274
20.06,31524,216360
20.09,33849,216559
20.112,35721,216732
20.141,36806,216821
20.163,36354,216789
20.193,32957,216470
20.216,27660,216010
20.242,24535,215752
20.268,26769,215950
20.295,33867,216580
20.32,36510,216802
20.347,30649,216256
20.372,24770,215770
20.398,29852,216236
20.424,36380,216791
20.451,29327,216133
20.476,25596,215848
20.502,35448,216733
20.529,31182,216297
20.555,25818,215877
20.581,36319,216790
20.607,27554,215976
20.633,29983,216259
20.659,33448,216508
20.685,26042,215905
20.711,35885,216733
20.744,25091,215815
20.763,36221,216768
20.792,25044,215806
20.815,36107,216753
20.843,25827,215893
20.868,34301,216563
20.894,28853,216152
20.921,29718,216153
20.948,34634,216674
20.974,25459,215847
21,33069,216455
21.026,32288,216467
21.053,25591,215846
21.079,32743,216408
21.105,34151,216629
21.131,26852,215989
21.157,28355,216026
21.183,34722,216614
21.209,33576,216579
21.235,27594,216057
21.261,26576,215894
21.286,30997,216264
21.312,34941,216646
21.341,34194,216634
21.365,31893,216443
21.392,29058,216186
21.418,27338,216033
21.444,26408,215945
21.471,26308,215919
21.502,26757,215913
21.522,27222,215944
21.549,27319,215945
21.575,27334,215953
21.601,26932,215928
21.628,26666,215930
21.654,26797,215967
21.68,27839,216079
21.707,30261,216302
21.733,32472,216484
21.759,34027,216589
21.785,33377,216481
21.812,30079,216170
21.844,27156,215951
21.864,28571,216135
21.891,32337,216465
21.916,33802,216527
21.942,29514,216119
21.968,27371,216005
21.995,32467,216468
22.021,32670,216400
22.047,31262,216337
22.074,31375,216345
22.101,31382,216343
22.126,31385,216343
22.153,31388,216343
22.179,31390,216343
22.204,31396,216344
22.231,31400,216344
22.256,31405,216344
22.282,31411,216344
22.309,31416,216344
22.335,31421,216344
22.361,31427,216344
22.393,31433,216346
22.414,31438,216346
22.442,31444,216347
22.466,31450,216347
22.492,31456,216347
22.519,31461,216348
22.549,31468,216348
22.572,31475,216348
22.598,31484,216348
22.624,31492,216350
22.65,31501,216352
22.676,31512,216352
22.703,31523,216353
22.729,31533,216353
22.755,31543,216354
22.782,31550,216354
22.808,31556,216356
22.833,31561,216357
22.859,31565,216358
22.884,31568,216358
22.91,31570,216358
22.941,31573,216358
22.961,31574,216359
22.992,31575,216359
23.012,31577,216359
23.042,31578,216359
23.063,31579,216359
23.088,31581,216359
23.114,31582,216359
