time,odrive0.axis0.encoder.pos_abs
6.133,884
6.156,885
6.179,886
6.2,885
6.227,885
6.245,885
6.268,884
6.291,884
6.314,885
6.341,885
6.359,884
6.387,886
6.404,883
6.428,884
6.449,885
6.477,992
6.494,992
6.517,994
6.54,991
6.562,992
6.585,992
6.608,993
6.63,994
6.653,993
6.676,994
6.699,993
6.726,994
6.744,993
6.768,993
6.79,994
6.812,996
6.838,992
6.858,995
6.881,993
6.903,992
6.927,994
6.949,994
6.976,994
6.995,996
7.018,993
7.041,993
7.063,994
7.086,993
7.108,994
7.131,993
7.153,994
7.176,994
7.2,994
7.228,994
7.245,995
7.268,996
7.291,995
7.314,993
7.337,993
7.359,995
7.382,994
7.405,996
7.429,994
7.45,995
7.476,1085
7.496,1395
7.519,1640
7.541,1943
7.564,2248
7.588,2520
7.61,2767
7.633,3071
7.656,3377
7.679,3620
7.702,3903
7.727,4220
7.748,4511
7.775,4751
7.792,5074
7.815,5384
7.837,5646
7.86,5889
7.882,6190
7.905,6494
7.928,6735
7.951,7016
7.976,7334
7.997,7633
8.025,7878
8.043,8185
8.065,8504
8.088,8779
8.111,9040
8.135,9359
8.157,9656
8.18,9884
8.202,10158
8.227,10467
8.248,10762
8.276,11001
8.293,11304
8.316,11625
8.339,11911
8.362,12176
8.384,12491
8.408,12798
8.431,13043
8.453,13320
8.476,13629
8.5,13909
8.524,14150
8.545,14454
8.568,14762
8.591,15027
8.614,15300
8.637,15624
8.66,15940
8.684,16197
8.707,16499
8.73,16817
8.753,17087
8.775,17320
8.798,17616
8.825,17918
8.843,18166
8.866,18432
8.889,18754
8.912,19061
8.935,19316
8.958,19631
8.981,19955
9.004,20228
9.026,20470
9.05,20782
9.076,21085
9.096,21315
9.118,21595
9.141,21915
9.163,22198
9.187,22438
9.209,22743
9.232,23079
9.255,23357
9.277,23604
9.3,23919
9.326,24210
9.346,24451
9.369,24725
9.392,25044
9.415,25332
9.438,25570
9.461,25876
9.484,26199
9.508,26484
9.53,26753
9.553,27067
9.576,27367
9.599,27608
9.626,27908
9.646,28213
9.669,28485
9.692,28727
9.715,29047
9.738,29360
9.761,29617
9.784,29895
9.806,30225
9.83,30535
9.852,30769
9.876,31073
9.899,31393
9.926,31661
9.945,31898
9.968,32208
9.991,32514
10.014,32756
10.036,33035
10.06,33376
10.084,33673
10.107,33926
10.13,34251
10.152,34558
10.176,34814
10.199,35082
10.224,35391
10.245,35680
10.268,35918
10.291,36217
10.314,36535
10.337,36807
10.359,37050
10.382,37377
10.405,37700
10.428,37955
10.451,38242
10.476,38549
10.497,38835
10.524,39063
10.543,39369
10.566,39679
10.589,39947
10.612,40199
10.635,40517
10.658,40831
10.681,41079
10.704,41384
10.726,41701
10.749,41982
10.776,42237
10.796,42535
10.819,42831
10.841,43074
10.863,43328
10.886,43642
10.909,43945
10.931,44180
10.954,44477
10.977,44811
11,45104
11.026,45348
11.045,45653
11.067,45952
11.091,46205
11.113,46452
11.136,46766
11.16,47073
11.183,47301
11.206,47610
11.229,47942
11.252,48220
11.277,48489
11.299,48808
11.325,49115
11.344,49358
11.368,49641
11.391,49949
11.414,50228
11.436,50458
11.459,50771
11.481,50655
11.504,50668
11.527,50668
11.55,50666
11.576,50667
11.595,50668
11.618,50664
11.64,50666
11.662,50668
11.685,50665
11.707,50666
11.729,50665
11.751,50666
11.775,50667
11.796,50666
11.819,50666
