time,odrive0.axis0.encoder.sencond_pos_abs
91.435,188122
91.466,188156
91.481,188188
91.512,188217
91.535,188247
91.563,188278
91.592,188305
91.621,188329
91.644,188359
91.672,188390
91.698,188420
91.731,188452
91.751,188484
91.789,188522
91.81,188552
91.833,188582
91.86,188610
91.885,188637
91.918,188662
91.94,188686
91.969,188715
91.996,188741
92.032,188769
92.047,188795
92.081,188818
92.099,188839
92.132,188864
92.159,188893
92.183,188921
92.209,188946
92.235,188968
92.261,188985
92.289,189009
92.315,189034
92.344,189056
92.369,189078
92.397,189096
92.435,189108
92.46,189125
92.484,189136
92.511,189155
92.535,189177
92.557,189196
92.589,189211
92.609,189227
92.64,189251
92.666,189268
92.691,189286
92.717,189306
92.743,189326
92.779,189344
92.796,189363
92.822,189381
92.849,189397
92.882,189411
92.909,189426
92.934,189437
92.959,189442
92.99,189455
93.023,189469
93.041,189482
93.065,189494
93.091,189505
93.116,189517
93.142,189524
93.168,189532
93.195,189541
93.23,189549
93.247,189559
93.281,189567
93.3,189573
93.325,189581
93.36,189585
93.383,189595
93.41,189603
93.432,189612
93.464,189618
93.487,189625
93.513,189631
93.539,189636
93.566,189644
93.592,189649
93.632,189655
93.649,189662
93.683,189663
93.71,189661
93.733,189665
93.763,189667
93.782,189669
93.812,189671
93.84,189669
93.866,189676
93.892,189680
93.918,189680
93.944,189683
93.98,189683
93.995,189684
94.031,189684
94.047,189684
94.08,189684
94.109,189685
94.132,189684
94.159,189684
94.189,189684
94.211,189686
94.233,189685
94.261,189684
94.294,189685
94.313,189684
94.338,189685
94.364,189686
94.391,189686
94.431,189685
94.448,189685
94.481,189684
94.5,189684
94.534,189685
94.561,189684
94.582,189686
94.613,189686
94.643,189684
94.671,189684
94.689,189685
94.721,189685
94.737,189685
94.795,189685
94.814,189662
94.835,189648
94.862,189643
94.888,189633
94.914,189627
94.94,189618
94.969,189611
94.995,189604
95.022,189597
95.048,189585
95.082,189577
95.1,189566
95.133,189555
95.163,189541
95.189,189530
95.211,189519
95.241,189505
95.261,189484
95.291,189468
95.312,189453
95.338,189435
95.364,189416
95.39,189397
95.43,189375
95.447,189356
95.48,189332
95.5,189317
95.534,189297
95.559,189282
95.579,189266
95.61,189250
95.641,189229
95.661,189220
95.686,189206
95.716,189197
95.738,189184
95.768,189170
95.794,189154
95.821,189138
95.846,189123
95.88,189102
95.898,189079
95.924,189055
95.95,189033
95.981,189007
96.011,188981
96.032,188955
96.06,188929
96.08,188904
96.109,188880
96.132,188857
96.158,188833
96.184,188812
96.217,188791
96.236,188768
96.266,188750
96.291,188728
96.316,188707
96.345,188685
96.371,188660
96.397,188634
96.431,188606
96.45,188575
96.481,188543
96.51,188508
96.532,188479
96.552,188453
96.603,188414
96.62,188389
96.646,188367
96.679,188342
96.697,188319
96.73,188296
96.749,188269
96.786,188245
96.801,188218
96.832,188186
96.865,188159
96.883,188131
96.909,188099
96.935,188064
96.962,188028
96.991,187985
97.017,187950
97.044,187910
97.081,187876
97.099,187846
97.132,187819
97.159,187791
97.176,187759
97.209,187731
97.233,187702
97.254,187674
97.282,187638
97.308,187599
97.336,187560
97.368,187519
97.385,187484
97.411,187448
97.441,187407
97.466,187378
97.495,187347
97.532,187310
97.552,187275
97.583,187241
97.61,187205
97.633,187169
97.661,187122
97.691,187076
97.713,187037
97.735,186998
97.762,186965
97.787,186934
97.817,186900
97.843,186870
97.869,186835
97.895,186798
97.935,186755
97.949,186704
97.976,186644
98.011,186600
98.042,186565
98.06,186522
98.084,186485
